mmer1	mmer2
654	1456
484	1371
607	1480
477	1148
59	1435
270	1384
586	1386
507	1414
690	1266
604	1454
920	1476
1077	1437
572	1451
493	1347
871	1492
431	1365
41	1160
1080	1520
1048	1412
1083	1429
1016	1250
851	1471
749	1383
136	1307
757	1189
156	1166
983	1374
547	1355
752	1171
757	1202
879	1213
161	1431
143	1399
692	1293
187	1529
803	1509
1075	1251
848	1451
253	1477
558	1233
1114	1241
312	1422
441	1168
864	1327
593	1339
193	1334
32	1387
721	1155
823	1425
145	1314
214	1273
1113	1511
1012	1550
605	1501
504	1225
675	1273
834	1470
522	1394
967	1518
511	1403
807	1183
24	1296
670	1364
777	1225
609	1219
650	1551
35	1367
1089	1439
937	1439
469	1310
794	1262
1061	1280
840	1392
628	1496
639	1412
125	1311
934	1165
953	1139
696	1231
231	1560
29	1276
427	1468
1113	1193
948	1464
647	1332
94	1409
345	1173
998	1541
246	1303
510	1227
229	1238
105	1342
1101	1507
411	1546
1116	1381
46	1234
372	1156
394	1446
815	1476
746	1287
380	1402
507	1185
207	1292
858	1171
884	1159
536	1179
469	1540
606	1169
190	1326
601	1505
291	1186
406	1198
1037	1180
337	1284
93	1442
509	1390
416	1307
503	1319
926	1407
208	1509
112	1446
279	1349
1002	1449
1111	1415
783	1345
953	1501
628	1173
1036	1495
407	1255
552	1277
732	1219
886	1322
84	1309
167	1486
441	1481
126	1248
632	1337
981	1257
123	1189
478	1455
350	1488
548	1370
388	1364
215	1425
307	1378
414	1434
489	1237
84	1334
689	1218
290	1346
753	1311
972	1561
747	1487
61	1296
1025	1351
502	1138
354	1421
700	1564
932	1233
854	1330
592	1509
110	1501
459	1530
652	1253
722	1152
846	1313
419	1128
95	1264
141	1230
529	1252
973	1174
102	1426
742	1447
986	1248
494	1227
660	1389
390	1449
570	1284
1001	1455
1028	1403
333	1246
1019	1466
825	1148
969	1541
522	1147
373	1428
125	1363
80	1253
100	1240
104	1350
1057	1391
636	1197
196	1344
416	1178
929	1428
30	1386
197	1304
665	1456
339	1472
810	1270
209	1193
101	1304
344	1502
241	1558
363	1328
832	1496
488	1298
256	1359
782	1180
506	1136
1015	1200
1003	1300
222	1318
625	1415
955	1185
802	1151
279	1276
402	1524
949	1197
881	1518
556	1182
1017	1133
571	1331
950	1130
462	1338
148	1438
1	1467
978	1243
680	1202
610	1471
436	1161
313	1564
192	1537
427	1211
877	1494
915	1379
908	1254
417	1511
73	1176
520	1259
1064	1305
528	1271
778	1527
579	1220
283	1199
698	1524
289	1267
13	1201
816	1400
1033	1512
796	1252
106	1540
145	1213
386	1559
163	1260
874	1264
721	1564
756	1377
438	1489
304	1496
446	1458
795	1365
243	1217
916	1196
647	1223
422	1340
385	1489
1098	1193
492	1148
426	1341
574	1289
440	1279
956	1247
480	1180
643	1491
1039	1457
114	1221
982	1285
66	1160
261	1307
744	1380
720	1185
52	1446
614	1379
976	1396
483	1222
296	1382
646	1495
1081	1186
340	1132
518	1389
841	1524
890	1528
1014	1245
701	1417
476	1366
130	1167
516	1496
447	1513
1042	1274
831	1345
634	1169
657	1259
919	1421
415	1261
281	1396
997	1127
415	1136
236	1396
836	1418
763	1154
316	1189
429	1188
204	1411
466	1511
297	1541
66	1260
1034	1391
814	1153
1119	1397
834	1488
873	1209
168	1215
170	1521
398	1256
732	1377
20	1335
785	1482
348	1184
528	1301
364	1286
585	1222
682	1164
695	1191
513	1515
864	1274
454	1450
205	1325
329	1350
3	1479
148	1359
28	1199
637	1441
42	1221
303	1478
414	1351
690	1202
912	1192
734	1471
442	1294
513	1151
393	1553
787	1256
468	1356
327	1288
331	1372
500	1220
472	1538
736	1411
743	1153
560	1562
1071	1128
652	1224
895	1306
962	1156
947	1371
918	1335
563	1506
1065	1552
275	1460
1091	1270
540	1467
242	1423
1059	1284
617	1255
534	1432
362	1400
581	1281
583	1256
124	1143
79	1484
677	1557
216	1283
889	1393
820	1302
80	1407
1094	1269
638	1377
664	1483
602	1266
440	1353
134	1178
38	1187
1106	1130
874	1286
49	1121
838	1297
855	1294
928	1329
781	1358
497	1183
233	1316
277	1560
292	1434
212	1220
305	1554
980	1290
684	1404
561	1276
57	1395
644	1549
361	1193
48	1255
933	1473
83	1557
498	1486
764	1280
498	1230
965	1375
496	1277
574	1357
678	1403
453	1163
723	1147
19	1131
501	1562
154	1224
733	1535
88	1217
315	1432
418	1474
713	1280
1010	1273
741	1315
526	1368
863	1324
360	1524
584	1125
1011	1256
1043	1275
648	1414
755	1488
376	1292
457	1295
718	1300
957	1526
993	1244
662	1401
1045	1549
819	1306
444	1212
937	1505
206	1566
968	1214
142	1353
430	1239
750	1265
462	1539
531	1129
944	1164
472	1508
1066	1125
1047	1391
582	1210
194	1566
531	1210
323	1409
908	1151
809	1420
51	1448
675	1227
15	1348
64	1551
545	1141
526	1433
456	1535
86	1395
532	1219
21	1175
519	1162
578	1419
852	1332
786	1408
300	1215
725	1315
646	1159
1002	1375
144	1274
656	1346
339	1192
766	1278
1009	1503
174	1549
477	1354
1015	1137
385	1434
223	1261
75	1132
629	1200
790	1255
867	1172
34	1200
70	1444
428	1477
445	1372
710	1418
859	1459
524	1404
208	1450
86	1489
1076	1483
853	1375
356	1360
517	1424
527	1313
106	1143
688	1469
117	1223
573	1350
1032	1373
907	1184
566	1500
610	1244
965	1249
343	1380
259	1460
221	1237
326	1430
9	1445
793	1504
400	1138
178	1325
494	1154
128	1484
291	1535
753	1484
1074	1194
332	1150
785	1224
1026	1406
261	1151
890	1203
533	1426
450	1344
262	1308
883	1166
998	1369
564	1167
893	1527
798	1123
135	1371
519	1382
10	1229
428	1231
575	1390
889	1324
378	1308
160	1563
26	1271
159	1438
512	1214
87	1189
1111	1441
940	1386
784	1506
81	1561
230	1242
185	1347
44	1124
530	1177
201	1385
325	1440
741	1473
52	1562
553	1493
352	1480
632	1297
804	1263
922	1346
872	1494
546	1538
726	1458
408	1492
759	1328
1030	1147
411	1158
312	1507
304	1542
702	1563
356	1144
128	1232
786	1518
132	1129
828	1155
703	1485
202	1154
716	1528
827	1483
289	1267
18	1500
319	1452
274	1368
704	1346
872	1205
113	1534
920	1207
161	1501
452	1152
373	1550
129	1358
371	1180
92	1138
257	1140
565	1228
816	1448
75	1452
1066	1297
276	1288
589	1427
177	1142
205	1463
249	1539
687	1470
471	1262
43	1207
705	1503
1022	1495
412	1320
945	1505
544	1413
439	1258
253	1376
692	1178
1098	1435
525	1232
74	1351
949	1483
1	1464
71	1275
801	1168
552	1299
464	1347
701	1445
857	1416
31	1294
639	1373
765	1126
264	1354
387	1525
36	1126
661	1405
287	1273
147	1160
1053	1362
882	1404
530	1517
876	1475
1049	1290
144	1531
959	1150
928	1127
735	1408
760	1366
372	1127
729	1282
663	1283
485	1220
301	1465
1041	1548
589	1469
136	1442
164	1308
841	1304
699	1221
829	1398
257	1348
497	1547
712	1558
596	1556
449	1166
618	1360
1022	1314
489	1356
361	1276
902	1402
903	1214
752	1424
311	1520
970	1210
365	1536
1102	1494
509	1544
758	1560
612	1338
691	1436
334	1266
516	1407
884	1241
718	1165
454	1208
233	1423
719	1421
962	1214
523	1327
539	1510
350	1173
295	1467
215	1359
506	1187
843	1388
309	1526
1101	1277
18	1525
488	1406
678	1365
357	1355
929	1439
1038	1472
993	1217
299	1504
631	1272
630	1192
28	1287
668	1419
511	1478
395	1285
189	1381
139	1548
750	1367
616	1420
1027	1344
728	1503
913	1396
619	1348
830	1499
650	1203
865	1139
182	1288
1091	1508
1067	1403
65	1481
184	1216
825	1430
218	1229
694	1545
1058	1212
958	1410
491	1319
445	1543
336	1532
897	1323
388	1182
611	1139
697	1144
375	1140
898	1466
1018	1316
364	1228
1025	1135
799	1413
48	1439
210	1369
829	1402
219	1435
739	1309
533	1463
505	1249
264	1216
121	1231
244	1157
355	1144
160	1428
599	1214
234	1456
1062	1446
77	1342
175	1294
994	1240
468	1480
588	1310
975	1291
601	1163
237	1139
1088	1522
631	1183
482	1443
12	1172
1108	1234
569	1195
845	1185
792	1499
290	1482
985	1440
776	1525
619	1197
451	1163
833	1280
167	1564
100	1181
432	1512
1046	1381
402	1293
188	1388
1044	1332
435	1446
774	1162
691	1272
612	1198
460	1360
45	1129
935	1367
157	1352
294	1565
980	1510
840	1537
588	1236
541	1209
901	1278
76	1397
581	1379
543	1302
843	1182
129	1461
811	1478
689	1184
661	1343
266	1506
188	1484
461	1205
792	1236
626	1540
183	1565
861	1459
1072	1258
1038	1317
303	1160
181	1491
1096	1151
970	1394
538	1410
1046	1296
868	1558
248	1349
761	1233
850	1519
968	1413
108	1497
482	1422
418	1559
779	1392
977	1176
27	1418
378	1454
545	1246
353	1384
576	1512
460	1453
432	1336
176	1301
1103	1255
107	1204
8	1268
925	1299
501	1444
734	1407
783	1453
642	1511
833	1448
514	1319
201	1363
649	1551
891	1562
412	1298
1086	1416
658	1544
837	1341
673	1207
751	1251
670	1467
45	1200
319	1324
910	1226
805	1437
803	1208
486	1497
43	1460
683	1218
510	1299
806	1370
961	1383
818	1492
770	1302
942	1566
1008	1526
791	1513
209	1411
6	1170
540	1271
367	1323
924	1544
11	1474
852	1389
664	1205
131	1150
831	1392
771	1178
479	1432
422	1526
57	1363
597	1159
900	1523
71	1236
68	1418
455	1165
768	1443
436	1415
1020	1127
278	1321
1020	1494
1011	1314
776	1475
1078	1337
821	1306
256	1222
329	1430
767	1171
245	1262
150	1489
326	1356
231	1157
910	1131
960	1289
59	1311
111	1427
982	1265
570	1175
78	1474
905	1298
349	1440
152	1196
1118	1389
1072	1373
1047	1533
727	1475
403	1412
30	1462
485	1319
1085	1253
597	1348
448	1352
674	1225
490	1125
293	1147
496	1326
590	1558
255	1181
580	1453
835	1194
1109	1268
358	1452
885	1170
16	1451
754	1258
682	1249
50	1454
715	1531
695	1280
1003	1429
939	1252
934	1456
514	1551
992	1358
703	1532
693	1387
403	1169
1095	1493
567	1161
333	1525
316	1149
425	1454
434	1402
830	1277
772	1413
547	1177
524	1215
871	1392
527	1453
293	1331
566	1512
269	1186
214	1354
715	1149
894	1240
924	1122
352	1510
150	1443
1058	1264
135	1188
1094	1335
1031	1145
793	1270
429	1136
716	1253
504	1353
541	1527
919	1229
320	1141
828	1246
975	1197
508	1329
365	1412
377	1399
686	1406
727	1329
437	1195
856	1132
906	1263
667	1464
745	1526
862	1429
723	1378
246	1169
594	1393
622	1484
267	1403
869	1431
495	1149
584	1500
265	1285
384	1345
409	1268
85	1211
930	1539
621	1308
788	1309
118	1334
31	1404
717	1477
823	1212
254	1127
341	1559
272	1157
146	1400
567	1474
582	1330
1001	1477
271	1158
656	1443
877	1227
822	1343
623	1378
573	1307
37	1336
971	1352
474	1270
391	1563
377	1505
1021	1323
379	1188
590	1385
227	1497
398	1320
330	1237
571	1519
87	1269
200	1510
109	1235
401	1209
984	1234
187	1198
406	1145
630	1563
622	1508
213	1318
178	1401
495	1388
207	1349
286	1133
959	1283
922	1381
1035	1232
243	1472
801	1180
592	1219
1107	1553
1037	1497
315	1362
780	1448
179	1279
122	1301
62	1445
119	1456
556	1292
96	1540
879	1469
425	1421
724	1536
775	1324
1108	1270
737	1263
930	1529
587	1260
914	1380
704	1281
724	1120
808	1435
674	1337
973	1163
655	1455
963	1436
151	1357
32	1543
351	1463
638	1224
966	1131
38	1546
367	1250
174	1177
163	1338
683	1320
183	1266
358	1507
886	1282
1043	1463
382	1553
672	1561
964	1136
997	1245
583	1299
1117	1563
60	1164
112	1148
46	1433
710	1222
707	1139
226	1435
351	1210
927	1530
1005	1342
1099	1513
868	1317
1104	1157
1005	1494
500	1234
232	1212
101	1286
118	1331
618	1134
708	1328
401	1444
459	1567
69	1349
563	1545
608	1455
168	1305
1103	1337
770	1554
595	1287
63	1561
945	1177
706	1343
806	1244
554	1379
276	1444
878	1360
894	1427
263	1138
99	1302
562	1283
151	1136
153	1334
861	1199
808	1321
381	1548
218	1223
771	1282
1006	1140
223	1547
413	1438
543	1345
624	1557
1018	1134
1060	1326
58	1516
933	1230
1029	1547
633	1307
616	1412
585	1128
181	1176
335	1221
901	1321
332	1248
804	1419
1110	1125
11	1534
781	1257
170	1518
392	1290
89	1495
739	1419
651	1317
827	1539
943	1189
772	1125
19	1524
70	1309
1040	1551
13	1251
867	1323
979	1277
685	1399
822	1137
832	1475
288	1371
232	1158
41	1211
227	1359
777	1217
397	1535
21	1493
870	1241
1067	1352
659	1473
903	1422
20	1369
1118	1454
554	1225
709	1421
239	1545
899	1122
996	1245
455	1528
515	1500
322	1368
699	1431
969	1535
448	1373
826	1202
532	1185
185	1311
217	1211
694	1343
134	1410
1056	1377
880	1328
923	1529
855	1287
130	1265
47	1216
649	1288
1016	1170
1073	1555
105	1432
1104	1417
152	1126
392	1312
172	1330
819	1326
320	1511
310	1211
399	1320
173	1310
395	1460
337	1482
706	1133
389	1470
608	1546
138	1355
591	1514
394	1557
669	1284
853	1433
774	1206
685	1242
1090	1508
359	1431
784	1549
1117	1413
885	1197
743	1480
255	1322
799	1557
756	1339
676	1544
383	1393
116	1548
470	1193
866	1133
224	1517
818	1462
330	1195
746	1380
238	1332
740	1398
948	1420
280	1374
235	1369
93	1508
137	1479
267	1191
1028	1477
165	1188
56	1352
235	1452
1073	1366
515	1383
671	1493
978	1347
447	1542
405	1520
539	1265
96	1160
681	1538
865	1390
89	1391
311	1135
512	1451
249	1309
324	1461
981	1191
627	1372
23	1181
555	1493
7	1371
5	1350
244	1364
1033	1244
1070	1315
1080	1135
247	1313
941	1424
260	1155
283	1208
9	1492
815	1201
995	1342
802	1532
521	1541
839	1268
55	1258
262	1466
404	1377
245	1290
657	1546
708	1257
463	1262
916	1203
600	1133
925	1235
1063	1424
76	1218
991	1429
456	1306
1000	1149
1078	1353
121	1523
131	1200
94	1318
744	1288
932	1161
938	1327
2	1457
505	1206
535	1146
714	1492
1099	1527
299	1324
400	1545
1097	1192
133	1168
762	1458
355	1171
999	1474
26	1303
863	1517
60	1304
24	1337
758	1376
917	1396
381	1269
824	1302
254	1258
635	1441
679	1364
536	1538
999	1242
740	1323
466	1183
252	1215
645	1390
951	1311
108	1480
1029	1155
1084	1400
1024	1205
893	1269
902	1183
122	1301
370	1436
177	1207
1052	1235
426	1523
95	1550
473	1470
1105	1343
935	1427
745	1415
72	1357
747	1124
341	1287
40	1521
1081	1162
324	1165
354	1142
665	1326
434	1374
211	1523
396	1240
217	1296
988	1254
493	1232
1102	1472
673	1516
149	1315
159	1533
921	1438
182	1164
322	1529
399	1515
79	1441
119	1487
190	1322
423	1181
817	1176
340	1239
83	1520
405	1448
347	1501
1013	1226
912	1398
407	1276
1049	1304
421	1155
624	1132
607	1156
1092	1153
463	1502
62	1301
280	1316
132	1199
580	1174
870	1168
936	1528
1061	1546
97	1463
371	1388
166	1298
1092	1312
627	1558
595	1312
1006	1201
712	1428
451	1259
292	1250
302	1181
186	1331
251	1333
347	1500
1082	1226
1064	1263
138	1281
1017	1328
273	1271
313	1153
1048	1281
397	1346
240	1282
693	1330
551	1397
69	1188
860	1476
369	1175
549	1178
156	1356
655	1261
64	1565
553	1124
846	1364
578	1242
917	1131
474	1470
722	1472
374	1426
931	1244
876	1427
444	1417
939	1349
92	1161
812	1512
169	1479
90	1507
797	1201
258	1199
1116	1353
147	1520
814	1439
778	1325
481	1363
789	1174
759	1243
270	1335
114	1138
773	1290
306	1559
1097	1242
548	1544
557	1282
1044	1229
882	1402
349	1204
651	1422
591	1245
568	1491
199	1173
284	1459
111	1289
711	1467
1079	1271
730	1132
300	1465
1112	1453
565	1397
7	1235
898	1147
860	1348
909	1393
446	1404
668	1522
640	1184
858	1566
773	1565
220	1150
1106	1225
155	1387
609	1549
25	1521
761	1350
115	1233
314	1162
947	1152
273	1509
274	1457
123	1358
658	1186
423	1516
391	1497
787	1238
768	1283
883	1340
895	1368
173	1519
1056	1131
464	1430
605	1366
551	1565
697	1208
820	1533
875	1344
653	1381
809	1308
126	1540
1100	1300
140	1325
492	1300
475	1442
266	1184
171	1177
317	1375
33	1556
990	1130
686	1120
452	1215
186	1124
742	1521
985	1289
666	1246
733	1218
613	1169
281	1217
1075	1329
14	1461
800	1198
433	1264
301	1144
65	1554
271	1434
537	1278
55	1167
298	1334
558	1263
278	1415
961	1361
641	1458
1100	1130
896	1241
1053	1457
327	1257
957	1384
795	1391
725	1365
155	1468
172	1539
575	1519
791	1230
620	1335
974	1250
991	1433
379	1221
366	1533
620	1272
421	1416
4	1205
120	1224
202	1389
617	1216
210	1425
972	1479
1042	1341
483	1488
845	1458
836	1566
942	1554
598	1533
736	1545
393	1329
696	1468
54	1234
4	1159
907	1425
676	1170
869	1204
550	1292
911	1267
220	1430
842	1212
987	1120
594	1262
529	1196
222	1422
963	1514
644	1303
146	1264
228	1195
16	1250
984	1504
1112	1405
369	1405
53	1373
1024	1357
305	1378
433	1316
314	1362
27	1485
1030	1266
850	1274
904	1548
458	1233
449	1495
82	1165
221	1406
537	1376
5	1339
813	1279
224	1310
37	1293
598	1443
1039	1537
480	1491
835	1130
499	1483
669	1550
116	1257
1085	1482
417	1157
192	1527
797	1426
755	1367
659	1135
986	1223
82	1416
184	1555
296	1333
1077	1471
880	1243
338	1152
844	1274
282	1438
671	1124
237	1367
940	1194
269	1361
10	1449
419	1167
913	1321
811	1170
357	1401
272	1175
866	1473
103	1291
517	1462
1088	1466
1010	1351
0	1238
216	1356
956	1190
635	1542
6	1213
318	1409
22	1536
611	1279
164	1137
983	1331
1021	1319
1055	1417
133	1487
252	1327
219	1203
1035	1252
54	1134
943	1541
606	1481
258	1120
779	1260
1087	1442
849	1143
988	1431
323	1502
211	1295
562	1137
285	1459
310	1455
931	1531
642	1465
859	1360
878	1253
302	1561
938	1167
342	1344
958	1159
487	1322
78	1395
250	1279
604	1502
1051	1531
1009	1249
857	1295
557	1554
390	1426
1089	1382
577	1220
306	1168
1040	1122
1095	1295
763	1387
478	1121
1063	1292
687	1388
637	1137
23	1238
700	1259
1008	1359
748	1239
904	1265
714	1407
203	1232
490	1469
77	1502
749	1447
782	1254
486	1442
14	1362
487	1143
420	1341
1050	1528
265	1399
946	1384
542	1238
3	1392
191	1385
457	1451
438	1252
621	1395
555	1498
731	1363
996	1394
1060	1285
375	1408
277	1390
873	1457
614	1145
479	1459
1045	1278
775	1519
892	1202
569	1305
288	1556
17	1499
194	1368
717	1504
435	1513
1093	1120
596	1156
124	1289
662	1327
987	1152
368	1424
437	1268
53	1365
766	1172
200	1517
1096	1259
550	1223
50	1154
120	1141
236	1267
424	1523
204	1436
17	1397
952	1135
176	1149
275	1146
175	1340
954	1128
633	1382
109	1401
952	1345
139	1310
366	1414
769	1206
967	1567
914	1449
387	1236
22	1142
91	1273
1023	1555
593	1357
491	1154
228	1409
91	1464
286	1515
1079	1499
666	1487
645	1286
915	1515
549	1394
837	1556
203	1158
15	1374
1019	1340
520	1172
47	1142
1000	1556
499	1314
976	1547
989	1379
143	1243
476	1190
127	1369
1071	1296
794	1387
707	1382
977	1228
353	1536
728	1229
1054	1401
854	1385
848	1465
238	1383
162	1243
1115	1460
812	1322
2	1466
1051	1191
467	1505
321	1385
839	1198
602	1531
992	1481
615	1122
242	1213
368	1436
731	1210
165	1487
263	1196
250	1469
344	1414
359	1516
767	1303
103	1409
1090	1506
681	1378
1012	1209
525	1209
225	1537
287	1516
711	1564
58	1260
465	1126
599	1269
1086	1339
409	1163
389	1291
61	1489
338	1172
376	1246
542	1237
679	1300
384	1555
918	1333
842	1567
1050	1140
523	1432
798	1498
308	1395
730	1186
180	1440
140	1272
110	1126
1014	1517
107	1203
944	1123
63	1330
950	1405
374	1313
769	1486
382	1207
586	1140
431	1171
572	1423
12	1507
603	1398
343	1251
1087	1445
923	1239
229	1267
81	1281
1069	1251
97	1144
600	1354
899	1161
247	1318
154	1476
807	1141
443	1254
579	1437
68	1312
1032	1230
241	1393
430	1247
844	1567
72	1461
420	1254
34	1245
960	1297
321	1321
334	1291
954	1562
74	1504
994	1433
8	1366
735	1440
680	1490
946	1386
625	1529
56	1339
85	1182
653	1419
309	1384
896	1227
191	1416
29	1342
643	1560
875	1204
179	1479
1062	1464
615	1509
284	1295
1054	1522
484	1218
559	1129
838	1306
88	1567
195	1510
370	1434
1026	1293
1105	1358
660	1428
102	1122
709	1478
44	1394
764	1313
1004	1543
702	1423
230	1179
117	1420
35	1240
737	1405
856	1537
285	1522
824	1176
847	1256
226	1231
383	1206
1109	1414
189	1491
297	1485
1041	1490
450	1174
473	1143
964	1370
424	1317
817	1241
443	1208
1013	1191
1007	1173
955	1303
1074	1553
158	1195
979	1411
404	1285
467	1555
751	1465
298	1550
1034	1441
897	1340
461	1166
25	1235
158	1338
171	1417
413	1182
905	1450
926	1175
1076	1298
42	1543
33	1374
1052	1299
892	1179
234	1471
762	1206
561	1452
0	1297
408	1123
142	1485
1070	1486
989	1383
157	1553
225	1514
1093	1314
821	1468
810	1187
439	1213
40	1490
410	1286
36	1506
936	1236
900	1192
471	1521
826	1522
684	1226
169	1201
1107	1156
789	1530
788	1141
891	1187
153	1162
713	1275
239	1312
1110	1291
1084	1320
888	1410
626	1336
564	1129
503	1153
1083	1490
636	1488
663	1142
475	1449
113	1121
720	1166
98	1450
465	1518
282	1536
790	1317
698	1514
780	1341
640	1332
851	1190
760	1272
346	1447
568	1362
360	1376
813	1513
90	1486
990	1370
307	1293
765	1333
328	1325
346	1179
73	1386
251	1158
587	1542
51	1547
470	1146
677	1525
318	1503
196	1498
67	1196
197	1420
1055	1190
518	1305
212	1400
1068	1560
1065	1543
1007	1194
98	1498
453	1499
268	1552
719	1123
335	1399
195	1318
887	1222
198	1444
888	1148
458	1164
738	1462
342	1231
328	1380
729	1174
149	1425
726	1121
887	1411
380	1316
796	1146
199	1445
1004	1552
535	1450
104	1530
193	1468
667	1503
623	1237
260	1248
481	1372
974	1538
331	1485
634	1336
911	1249
386	1376
137	1476
294	1429
544	1408
613	1542
442	1261
49	1179
268	1375
363	1228
39	1121
1023	1247
1059	1278
849	1294
1114	1559
198	1123
141	1315
410	1145
521	1336
847	1534
559	1514
672	1284
966	1534
240	1481
180	1437
800	1261
705	1552
1119	1370
805	1355
927	1462
259	1475
1082	1134
560	1190
577	1552
502	1351
1057	1530
67	1418
546	1226
508	1406
862	1361
317	1275
336	1437
881	1354
576	1447
941	1498
654	1532
1115	1478
1031	1150
629	1461
754	1239
641	1355
348	1187
206	1482
971	1219
1068	1398
738	1204
362	1333
538	1361
909	1134
906	1146
748	1447
213	1194
99	1473
166	1248
115	1228
995	1534
39	1305
603	1247
648	1338
295	1128
345	1515
1069	1410
688	1496
127	1247
325	1347
921	1532
1027	1216
162	1423
248	1408
308	1145
534	1361
1036	1275
951	1490
396	1372
