mmer1	mmer2
90	168
91	180
135	154
39	187
127	195
52	175
5	152
109	182
121	149
1	165
83	191
4	157
114	141
134	177
98	187
31	148
48	172
29	145
10	186
76	178
50	192
53	170
27	149
20	190
25	155
48	159
7	176
51	171
13	153
33	147
116	185
53	157
46	171
34	180
137	181
70	142
7	151
99	194
8	167
87	178
66	150
30	154
100	185
27	174
131	147
5	171
118	191
63	173
3	140
126	188
18	183
119	161
137	190
73	173
45	171
79	140
44	153
136	170
40	161
21	152
103	163
125	184
0	156
59	162
132	183
1	146
34	177
89	153
41	159
57	166
32	164
133	181
92	195
125	166
139	150
17	169
96	189
9	192
11	175
86	159
37	149
41	194
28	169
94	148
36	160
10	177
75	144
109	146
6	154
55	176
139	163
58	165
103	157
25	147
104	179
74	184
101	143
101	180
84	191
93	194
54	168
6	159
60	187
60	142
84	191
72	179
49	167
63	194
46	142
44	179
22	183
105	161
85	192
94	145
68	175
29	188
89	189
128	146
65	151
82	181
0	179
15	156
97	162
111	165
108	192
8	144
88	140
86	170
138	182
83	189
16	143
38	194
14	150
110	189
113	168
135	164
113	166
81	176
80	165
114	159
136	142
118	188
71	178
28	164
39	179
75	193
112	186
69	144
68	188
120	169
57	149
21	162
23	161
99	167
38	193
131	161
3	155
59	195
52	180
49	170
95	189
115	144
132	185
12	182
115	177
107	171
124	157
18	174
121	184
56	140
32	145
126	178
71	147
124	180
120	173
73	167
16	163
107	185
12	155
15	141
62	141
130	153
119	181
78	158
40	158
96	172
43	195
128	148
31	145
74	193
105	177
54	188
70	185
80	172
77	195
2	186
37	190
138	160
19	166
87	170
104	162
42	168
90	146
129	151
30	152
17	150
24	184
47	151
14	192
50	169
106	160
65	144
91	154
61	145
85	158
19	151
102	182
102	176
93	193
67	190
62	152
11	174
76	181
133	157
47	150
55	143
110	165
64	187
111	172
78	175
24	175
82	160
79	174
35	164
26	142
117	158
35	173
134	168
130	167
127	140
56	146
98	155
66	190
117	163
112	178
36	176
67	186
122	166
88	158
100	143
95	183
42	149
51	164
69	160
43	187
64	143
81	163
61	152
9	172
106	153
26	183
123	169
23	148
77	174
2	141
123	156
45	141
116	191
33	173
22	155
92	184
13	193
108	186
20	147
4	148
72	156
58	162
129	182
122	154
97	156
