mmer1	mmer2
124	162
51	184
76	191
35	180
12	161
47	159
33	141
36	178
131	160
121	151
96	190
54	162
80	149
65	145
139	193
36	160
55	193
6	161
47	150
84	153
63	148
67	145
120	188
16	179
13	142
37	171
92	156
104	149
60	148
117	166
21	170
58	153
128	159
7	164
99	187
53	146
30	158
45	193
133	153
114	144
108	154
85	145
78	155
81	143
32	165
120	174
65	161
56	187
46	178
69	165
58	176
39	158
89	180
88	174
32	151
27	178
112	152
90	182
137	180
130	192
97	185
35	172
100	172
122	178
101	143
59	146
6	140
4	193
119	195
1	153
3	194
20	165
137	161
14	170
90	162
91	176
73	140
129	185
117	168
63	160
28	195
94	173
43	189
116	152
126	184
118	176
86	156
107	159
4	182
84	191
74	141
135	169
130	187
52	142
62	192
139	184
59	189
96	171
110	154
43	166
102	195
134	189
57	143
0	144
79	152
79	142
77	183
8	167
93	169
1	141
48	176
136	175
33	156
11	167
87	164
24	163
72	177
27	162
109	168
19	173
10	171
82	177
21	168
115	142
15	164
61	141
40	181
87	189
71	184
68	166
100	164
113	188
49	156
45	190
125	180
74	175
119	170
80	167
46	193
103	160
64	187
15	192
9	173
75	181
110	150
118	175
5	141
50	172
52	151
138	149
66	190
19	150
105	145
77	172
50	154
57	181
55	179
30	188
48	155
11	146
98	149
86	147
24	177
85	167
132	190
22	192
93	164
83	152
97	173
8	185
138	186
61	163
16	160
71	177
113	180
70	170
22	194
26	184
136	170
105	148
18	151
125	159
82	154
106	179
31	154
70	147
2	146
3	149
10	163
106	186
60	195
25	157
78	165
56	186
62	177
92	191
101	155
26	158
37	169
111	169
44	176
38	171
98	191
99	150
17	156
135	194
41	178
95	183
49	179
81	188
42	155
14	159
64	169
116	166
134	163
76	151
75	157
28	183
131	186
41	165
12	158
88	174
29	163
73	187
67	158
114	144
68	182
34	161
133	182
126	189
53	148
94	145
104	153
17	142
111	152
40	195
127	175
7	147
121	192
83	157
51	143
20	194
103	166
18	194
31	175
23	162
2	140
34	140
72	168
122	171
124	157
13	174
112	146
95	186
42	183
5	173
109	167
132	144
108	185
0	181
102	143
89	179
69	147
127	147
54	157
123	183
91	188
39	181
29	148
66	185
107	144
23	190
115	191
128	150
9	172
129	168
123	182
44	155
38	140
25	174
