mmer1	mmer2
212	391
1	363
62	354
249	315
24	299
7	371
122	329
166	357
94	321
35	349
233	324
98	315
202	348
133	320
174	352
60	364
206	359
115	313
206	353
265	340
54	388
259	313
136	289
88	291
176	300
245	282
104	383
99	285
38	353
232	370
110	287
252	348
78	326
101	282
122	328
81	340
77	280
273	282
239	357
192	378
270	386
3	301
138	309
58	363
84	379
169	334
74	385
176	311
66	375
178	341
12	285
53	381
228	297
7	376
161	347
193	299
103	351
263	290
254	387
108	347
25	317
203	380
131	304
235	391
119	361
10	371
158	291
262	330
210	342
75	315
227	326
123	361
51	371
9	320
81	391
262	296
91	314
188	376
259	370
27	332
127	326
84	304
179	339
237	321
199	335
251	345
248	380
144	362
146	297
93	387
130	376
59	345
140	374
261	326
74	319
191	341
202	335
256	323
80	313
96	318
222	355
250	302
47	287
255	283
268	330
205	383
237	376
272	325
240	339
33	344
107	391
165	374
36	342
93	355
114	374
2	295
241	345
97	317
113	381
215	304
89	321
184	293
181	299
241	337
221	303
161	389
22	329
8	390
229	389
232	302
266	388
95	383
196	280
59	281
142	386
148	308
171	367
35	388
152	326
46	356
191	380
117	343
120	364
245	353
49	371
163	333
209	356
83	388
116	327
158	291
234	342
164	295
20	298
73	323
155	378
156	287
228	290
57	382
233	389
256	352
82	318
185	309
129	351
181	322
195	391
6	299
51	343
252	340
28	370
273	322
178	367
166	288
177	286
16	339
217	314
92	314
258	368
139	295
142	348
21	363
173	286
39	331
99	375
210	373
49	355
145	385
134	362
30	386
235	364
162	338
153	294
155	332
239	298
22	283
267	327
253	363
19	284
116	385
31	308
12	358
80	381
91	344
216	292
56	320
197	284
46	349
137	376
172	307
261	361
198	333
28	327
197	366
212	302
90	357
135	322
134	286
208	303
67	382
174	340
227	369
85	329
244	357
168	359
188	280
203	343
179	302
214	373
37	288
112	293
207	283
238	354
170	370
30	300
94	323
70	346
117	390
103	379
152	285
183	385
79	389
10	305
101	334
44	381
39	316
144	312
196	319
57	317
86	286
14	349
257	384
50	318
68	335
277	366
209	306
215	312
216	338
274	307
17	307
150	295
147	342
266	303
194	378
180	314
153	374
60	358
54	366
270	328
45	281
263	322
104	334
243	332
43	371
182	338
65	324
55	352
0	355
225	289
251	297
106	373
208	296
278	369
247	306
128	375
2	331
229	331
24	293
167	346
126	337
87	377
11	350
61	333
200	329
32	294
130	347
246	346
34	381
121	366
275	351
267	357
157	346
222	339
279	284
201	354
156	343
19	368
36	343
213	373
223	288
105	349
42	372
65	322
41	300
6	305
171	361
79	360
183	353
15	375
159	290
78	289
190	377
18	378
157	349
207	365
135	386
218	375
236	361
275	345
249	289
246	316
224	311
17	292
109	380
154	304
40	324
13	306
175	325
225	332
257	324
23	359
34	319
182	365
200	308
112	306
264	325
236	370
127	325
63	284
211	319
55	305
118	299
72	301
23	287
172	310
56	321
218	312
1	348
150	282
247	336
258	315
97	368
125	387
141	377
265	312
5	360
43	294
204	335
52	303
132	346
149	364
223	387
221	384
244	384
67	281
44	344
3	383
48	291
226	293
238	372
114	379
187	297
248	327
52	347
108	377
175	333
63	363
199	331
163	291
201	307
92	345
33	316
58	316
124	372
26	390
76	289
4	341
148	337
90	340
240	334
192	296
111	328
194	286
269	283
129	331
95	360
68	327
123	379
253	382
165	366
73	354
0	367
38	300
100	308
88	297
77	360
98	364
277	344
86	350
224	296
25	336
82	318
186	360
69	294
47	310
20	336
41	298
102	311
143	323
64	352
160	359
70	350
66	365
131	358
279	388
189	292
85	390
234	373
278	339
75	385
269	382
124	336
219	320
13	389
143	304
125	365
40	378
136	298
105	325
145	290
120	382
4	283
100	380
139	390
31	321
198	296
250	368
242	315
220	362
219	341
260	328
184	318
211	347
170	280
96	355
115	356
26	285
226	292
260	350
138	387
71	369
190	344
83	359
230	311
214	335
231	368
140	367
5	332
141	379
205	313
185	383
180	295
27	307
132	358
162	305
109	362
167	305
151	313
147	356
119	337
72	292
177	329
276	369
272	328
242	384
276	301
87	309
111	350
9	316
271	298
11	348
271	330
173	288
106	287
187	338
53	369
164	294
220	365
255	312
64	374
128	309
230	324
243	351
18	280
50	358
29	341
61	386
107	306
254	352
204	311
42	282
69	301
137	300
213	323
16	303
37	309
8	301
264	372
189	367
146	284
29	281
76	342
21	293
217	281
154	302
32	333
71	337
126	320
110	330
15	356
151	353
186	354
89	310
118	319
268	314
14	336
48	288
168	310
102	362
45	310
121	317
159	338
231	334
149	317
274	372
62	290
193	377
169	285
160	330
113	384
195	308
133	351
