mmer1	mmer2
30	151
5	142
18	182
43	189
123	141
39	190
93	151
9	146
90	141
108	169
79	150
35	189
116	156
78	165
97	169
79	162
111	173
38	141
98	186
121	195
127	170
3	188
136	188
6	145
115	159
114	185
115	146
0	193
42	186
82	145
60	190
106	152
61	140
105	180
106	187
3	183
48	181
90	180
43	148
66	178
47	166
109	177
10	185
87	184
15	192
75	184
110	153
8	153
20	174
102	170
118	165
12	153
103	194
62	173
80	140
54	195
81	176
29	168
8	141
84	167
36	144
129	174
22	157
40	187
69	145
67	157
48	178
34	162
21	151
91	175
86	166
19	187
110	166
73	152
46	148
128	191
130	194
95	155
100	184
59	172
14	191
26	193
59	174
137	167
92	143
7	195
113	171
29	172
11	185
111	179
118	149
63	156
51	160
13	159
71	194
9	170
85	168
38	189
55	187
26	184
68	187
49	171
57	159
53	182
17	144
136	192
28	177
88	171
107	183
96	152
33	158
120	161
125	167
62	161
112	177
5	143
32	158
138	179
4	149
39	148
139	140
10	147
137	144
94	154
104	147
70	193
126	147
6	182
86	164
105	149
131	148
18	191
93	160
97	156
127	162
108	191
24	142
2	176
70	163
69	192
139	192
101	143
99	143
7	167
77	163
50	150
94	150
17	164
89	140
132	151
40	164
131	150
4	179
15	150
76	163
104	158
20	144
68	161
50	164
138	158
112	142
128	182
135	171
96	194
71	180
23	153
65	179
100	175
78	159
113	155
88	152
64	161
81	195
54	166
89	178
95	188
22	170
130	146
51	164
19	149
41	172
132	142
119	158
85	144
11	189
72	156
103	171
16	149
124	161
37	160
63	155
36	166
82	181
61	157
32	194
123	154
122	178
80	143
58	154
75	156
31	170
116	180
41	163
28	163
126	189
102	154
72	193
121	172
44	169
109	168
107	157
2	152
56	193
53	183
0	175
42	141
23	176
74	160
129	186
55	188
30	165
25	169
84	174
1	175
117	184
12	186
83	185
25	147
76	157
16	145
31	192
46	186
67	167
120	151
65	146
125	179
13	168
87	145
66	165
21	191
135	176
24	159
124	182
134	173
1	142
27	188
83	172
45	185
58	181
92	177
44	174
77	176
134	190
101	173
122	181
114	165
37	177
52	190
74	169
57	168
14	183
49	175
35	173
64	148
47	155
34	183
45	160
91	190
56	162
119	140
73	147
52	195
60	162
133	155
133	153
117	146
98	154
33	178
27	180
99	181
