mmer1	mmer2
116	161
11	191
12	158
107	153
26	146
77	148
64	160
131	143
39	158
99	156
17	181
84	157
109	195
47	179
9	176
97	153
71	181
46	163
36	165
126	170
137	150
86	183
113	155
30	169
8	167
28	166
122	175
10	148
54	181
91	175
0	194
133	143
4	181
134	194
103	149
31	190
43	168
118	173
35	174
59	191
46	164
102	185
72	177
90	154
131	159
47	165
124	142
53	188
109	147
39	179
45	155
52	145
100	142
137	159
35	178
94	140
16	148
104	150
93	190
82	163
121	169
50	156
19	163
122	185
14	146
29	153
53	186
98	153
97	151
69	169
120	187
81	140
65	193
33	140
73	151
71	156
129	185
63	176
111	158
1	157
89	170
82	146
44	142
31	146
135	193
23	141
15	180
96	176
13	147
119	182
85	151
1	175
38	173
20	189
117	187
3	152
41	187
41	194
123	192
19	158
94	149
130	172
100	184
67	195
9	171
12	148
123	188
92	177
110	145
29	159
65	150
136	184
32	160
52	165
98	164
128	183
18	179
84	195
63	182
42	162
75	165
57	166
18	160
62	172
44	174
3	170
105	191
128	152
135	188
136	184
42	167
23	185
95	150
48	166
91	154
96	155
72	187
26	147
112	155
24	144
87	182
129	189
38	143
76	142
24	177
76	157
86	175
43	146
69	160
78	173
124	195
61	164
58	168
56	144
49	170
110	159
56	144
40	192
88	174
36	183
34	161
37	180
2	194
119	144
67	171
115	149
127	163
93	143
139	167
92	172
25	155
106	191
62	190
10	178
80	193
33	145
7	168
50	153
58	164
66	169
85	168
87	164
2	175
8	169
114	189
138	181
79	186
114	180
74	141
48	147
55	183
6	187
105	178
95	163
102	160
51	150
99	185
101	170
125	173
126	171
4	162
115	171
20	191
78	176
101	182
88	186
61	167
139	156
90	182
117	161
37	149
22	188
21	180
15	158
89	186
0	179
81	174
25	184
68	184
70	148
116	152
130	141
34	142
59	195
30	176
57	190
107	172
113	143
7	151
51	190
80	168
132	154
27	140
16	145
27	157
103	171
60	192
54	162
13	140
111	183
73	144
40	154
106	152
75	162
11	145
132	147
77	166
121	162
64	167
120	149
108	180
28	141
22	178
108	177
133	156
6	161
138	151
60	157
70	193
5	165
118	161
127	173
134	192
79	174
125	177
68	189
83	189
49	179
55	192
74	141
32	186
14	188
21	152
104	193
5	159
83	194
17	178
45	166
66	172
112	154
