mmer1	mmer2
116	141
60	169
66	184
63	177
58	190
133	185
50	175
21	163
110	156
98	195
81	190
77	165
122	166
112	174
98	145
108	180
83	165
29	186
17	152
139	173
90	190
130	193
1	158
120	194
53	182
16	171
74	155
52	146
120	193
42	174
19	163
63	158
132	140
22	192
80	167
75	174
96	187
88	164
59	166
72	156
136	189
128	165
119	150
46	181
54	173
68	192
104	165
57	148
11	164
138	161
50	190
110	162
78	157
93	154
137	189
64	178
131	177
55	172
95	157
13	166
68	195
11	167
15	152
44	142
20	142
24	160
134	158
41	143
5	153
89	188
39	161
48	143
16	141
106	176
62	149
3	168
100	177
58	149
121	183
84	189
55	179
138	156
31	183
90	171
93	188
102	154
41	187
31	175
86	176
78	140
70	181
54	146
124	171
123	151
65	169
118	191
74	144
9	166
66	165
3	184
126	184
52	145
20	140
132	156
48	141
10	171
10	194
82	169
87	146
34	178
22	181
113	161
53	170
108	155
37	158
99	154
4	177
30	150
25	183
81	151
72	175
91	147
45	162
118	192
106	159
97	172
112	157
44	154
114	148
103	151
38	152
38	149
8	186
17	178
116	159
4	147
79	168
61	173
122	143
125	181
117	148
99	171
18	170
127	148
49	182
95	184
124	143
29	144
59	179
128	149
32	147
43	191
97	152
67	163
85	153
62	191
2	153
56	157
76	178
30	176
117	182
76	180
102	195
111	167
21	162
51	191
18	181
61	160
26	146
6	190
36	186
94	191
23	172
127	179
130	144
43	162
65	143
92	187
83	192
105	157
139	150
51	159
75	195
73	147
40	179
105	195
15	187
67	167
37	188
27	148
13	185
107	170
89	185
87	145
47	170
57	164
100	188
80	149
47	160
135	182
35	154
2	155
26	173
6	173
79	179
36	142
39	151
113	185
46	140
28	193
8	151
109	155
71	169
107	155
0	141
111	161
123	172
25	192
0	172
33	168
69	168
12	184
14	166
85	182
129	186
42	159
5	163
125	180
101	142
84	159
131	194
9	158
40	164
28	188
60	167
73	174
69	152
49	187
1	183
114	147
24	156
136	161
12	144
7	176
135	189
56	186
101	175
115	180
86	183
115	150
109	177
126	194
32	193
19	170
92	193
103	150
133	175
77	142
45	145
134	176
35	189
23	169
129	144
34	145
33	164
71	141
7	194
82	185
14	163
91	162
137	153
64	146
88	180
104	153
96	174
70	140
119	160
27	168
94	178
121	160
