mmer1	mmer2
42	153
42	185
10	194
1	186
117	154
26	148
107	152
49	174
67	142
113	163
47	187
118	141
50	183
36	174
52	167
45	173
14	175
99	166
87	154
124	160
106	190
39	154
33	169
112	181
101	149
61	158
100	160
36	173
67	146
56	182
28	175
30	147
58	194
45	148
102	169
136	186
103	177
22	144
138	162
85	170
54	172
37	178
76	166
8	161
69	180
35	146
66	159
31	155
125	165
71	143
24	155
94	175
35	157
123	184
86	188
91	145
18	191
98	141
84	168
59	178
133	164
108	168
87	159
26	167
116	185
29	193
80	194
60	190
98	145
15	143
18	140
86	167
100	180
3	159
133	149
66	145
114	147
61	182
75	146
125	183
4	178
78	150
53	164
129	179
102	189
81	144
51	167
2	181
94	191
134	142
88	156
38	169
119	165
21	165
104	142
92	179
5	195
1	148
13	170
97	155
31	146
76	150
75	192
44	151
129	164
108	193
19	192
48	194
57	152
134	143
51	185
49	187
41	193
137	171
7	169
82	159
30	165
136	172
82	188
20	156
38	183
109	191
88	192
93	150
96	185
63	170
71	183
91	176
107	151
110	172
109	180
62	182
90	155
0	174
92	158
63	175
105	140
90	163
126	166
131	176
48	154
40	157
115	142
10	185
89	175
117	189
2	177
137	195
74	193
99	151
130	140
27	172
110	177
4	166
77	155
83	146
43	181
24	195
123	154
135	182
128	149
59	182
34	184
23	190
58	162
21	187
85	186
72	148
74	189
89	145
69	173
103	195
20	160
77	186
25	179
39	191
56	172
68	164
46	149
29	193
79	188
33	141
32	149
0	153
70	188
41	195
22	170
65	190
106	144
32	147
7	189
60	169
105	161
95	142
27	178
12	160
46	165
97	178
53	176
112	168
73	181
25	177
126	184
55	157
114	153
55	188
111	167
127	162
135	179
3	173
73	156
124	152
62	184
84	191
50	145
8	171
11	177
6	143
12	140
15	140
139	180
14	152
40	161
93	166
11	150
78	170
52	171
72	141
37	148
96	156
132	144
57	164
111	143
104	147
68	190
9	184
64	151
115	153
13	180
23	179
120	141
70	151
119	194
44	163
113	171
17	156
122	153
118	174
34	174
116	161
19	187
132	163
122	161
131	157
9	162
139	176
101	168
17	158
80	152
6	183
64	192
65	171
95	160
120	181
43	173
121	192
138	186
5	189
81	144
128	176
83	159
130	162
16	158
47	150
121	187
127	168
28	158
16	147
79	163
54	157
