mmer1	mmer2
5	184
34	186
100	163
9	183
124	192
20	180
0	177
137	147
0	145
87	154
11	172
65	148
20	168
19	173
123	146
81	140
66	152
66	190
103	149
92	195
110	149
81	152
68	171
104	194
76	167
137	178
40	170
23	189
27	194
4	181
1	140
113	142
63	151
116	186
127	156
31	160
83	167
10	176
18	159
22	141
132	157
89	193
43	163
126	193
12	178
30	187
54	170
6	168
67	156
122	141
9	166
28	177
33	181
52	155
60	174
135	194
40	150
97	162
111	188
115	162
25	180
41	158
42	175
120	163
32	190
5	179
102	152
1	188
75	190
131	157
46	150
36	179
114	178
117	144
134	182
2	179
135	157
13	159
8	167
18	172
3	153
88	158
127	183
53	148
119	189
56	144
70	164
80	184
59	144
53	186
98	158
45	192
50	174
99	188
43	146
131	158
92	170
125	165
72	141
42	167
22	150
30	151
65	177
95	147
55	180
84	142
57	191
84	191
74	165
7	151
121	191
82	189
101	157
93	143
108	161
94	187
136	179
55	173
110	193
90	149
121	142
108	142
80	176
70	169
130	145
62	162
120	178
44	181
71	180
15	140
124	145
68	171
133	184
115	176
75	181
113	143
77	150
138	168
128	159
94	170
38	148
82	148
73	148
24	169
23	158
14	144
64	149
16	167
50	166
85	150
10	173
34	181
16	195
106	186
21	164
48	154
105	182
61	160
123	169
35	175
48	162
38	176
99	155
27	176
105	161
79	151
107	147
116	143
95	177
89	190
109	146
87	168
134	164
77	155
129	163
12	182
21	192
2	189
19	185
7	168
35	175
33	174
39	146
88	195
26	161
78	190
25	174
122	161
119	164
100	188
41	154
28	147
126	171
132	146
62	183
52	160
107	192
32	140
59	177
58	173
51	147
61	182
49	154
54	185
37	191
63	171
118	194
91	155
109	172
3	195
72	159
114	152
47	172
64	165
67	160
98	159
24	183
129	164
4	165
85	149
139	185
26	178
93	179
74	152
118	180
125	153
29	151
103	163
49	144
36	145
78	192
117	184
29	169
91	173
73	141
83	172
60	160
44	155
111	189
69	185
14	194
96	175
136	153
13	145
112	187
130	169
37	154
45	187
17	187
112	182
102	143
58	186
104	170
133	174
46	165
17	175
97	166
138	156
139	191
106	140
15	185
11	153
101	195
86	161
69	141
51	188
76	156
6	193
90	153
71	162
57	156
79	183
56	142
8	166
96	193
39	157
86	143
31	166
47	171
128	184
