mmer1	mmer2
105	143
112	150
66	140
20	168
86	166
133	149
57	174
26	152
63	184
18	171
54	157
6	158
107	183
28	191
39	156
99	171
65	155
80	160
101	188
50	188
113	141
5	176
118	159
13	192
74	151
95	194
0	192
109	160
134	162
46	158
34	149
99	153
31	162
68	159
31	163
12	177
16	189
136	158
122	188
83	171
45	193
69	151
58	194
100	166
9	161
39	182
131	148
127	192
44	140
48	146
118	193
60	166
30	147
106	172
115	180
10	141
124	188
103	163
29	152
117	149
56	155
70	186
73	178
73	187
78	169
85	153
130	177
139	144
91	184
109	146
41	173
108	154
43	156
65	190
52	179
7	144
93	142
92	190
48	146
121	146
108	195
93	168
74	190
94	150
102	173
49	192
34	181
14	159
3	185
105	140
112	157
78	184
92	157
83	179
45	156
133	158
40	182
110	165
19	145
111	169
14	195
77	167
90	168
137	194
136	149
30	153
86	176
41	175
120	186
84	170
71	148
13	142
76	190
62	152
10	171
7	158
4	167
50	171
69	170
97	193
6	149
27	152
82	173
139	172
47	174
98	150
81	184
29	175
9	168
1	154
89	147
24	179
88	142
94	155
5	191
56	178
37	150
119	182
75	173
8	163
138	160
117	189
107	143
0	177
36	153
98	179
85	164
113	181
77	157
129	178
104	144
51	141
32	186
66	184
95	155
2	170
23	189
103	159
46	176
67	156
76	154
25	182
87	167
126	183
63	154
61	151
110	189
70	146
79	161
58	163
49	193
82	193
115	154
22	148
53	186
2	145
87	185
37	170
62	177
127	194
64	155
38	165
111	145
17	177
44	165
71	187
124	180
11	140
27	194
35	160
1	178
138	189
23	187
132	172
16	170
26	174
75	181
25	147
125	144
104	151
28	181
38	195
123	174
33	174
129	183
53	142
100	169
119	176
3	165
67	195
120	151
130	164
126	144
106	141
35	147
32	162
80	172
79	163
57	172
64	143
61	157
36	142
68	175
116	164
84	165
19	152
55	175
47	167
54	161
134	176
90	180
17	188
22	175
131	162
40	187
33	161
20	169
114	167
97	183
121	187
12	178
42	195
8	143
101	145
123	185
116	169
18	148
102	143
15	180
135	145
11	153
91	180
128	164
72	147
21	191
52	186
89	179
122	162
59	191
51	192
132	190
4	148
72	185
59	191
128	166
42	166
43	160
137	164
15	183
135	156
96	161
24	173
60	182
96	185
55	168
88	181
81	150
114	140
21	159
125	141
