mmer1	mmer2
115	185
81	181
20	158
26	174
139	176
73	178
104	147
16	179
67	154
137	150
124	169
134	155
13	166
27	190
45	170
22	184
56	175
27	168
107	170
108	148
128	168
112	195
37	143
59	148
53	157
43	184
122	173
4	156
126	153
64	173
121	152
73	171
88	189
21	157
45	179
133	180
110	159
86	140
17	177
28	151
110	190
71	174
77	140
18	156
94	163
46	177
29	155
18	190
80	181
105	178
2	182
49	172
6	192
31	179
16	168
130	190
41	167
114	147
79	180
25	143
84	171
127	141
58	162
95	195
130	148
66	176
61	159
128	145
34	183
19	149
28	144
98	145
136	194
117	150
127	142
5	161
137	149
55	149
118	166
104	191
14	146
46	156
80	160
23	182
116	147
108	166
87	143
58	144
62	142
116	163
125	195
35	188
57	152
138	182
69	150
87	180
120	161
114	161
43	149
21	187
24	142
115	152
125	163
109	154
26	167
135	144
56	181
111	166
7	188
81	160
78	171
74	177
0	140
54	165
5	143
3	168
7	160
53	155
96	189
68	187
52	192
89	161
54	162
15	182
60	153
64	142
117	175
124	157
74	184
119	158
100	164
129	172
132	142
96	154
23	191
68	165
1	174
30	191
52	141
49	144
82	188
120	182
38	164
39	167
50	186
83	169
10	174
33	188
85	176
90	176
39	163
113	195
112	150
122	183
47	170
8	193
42	179
38	140
9	165
62	154
78	172
40	187
131	154
11	193
51	152
132	160
3	184
85	188
100	168
36	170
13	174
105	157
8	159
133	165
123	169
91	187
9	145
102	159
92	156
97	183
107	195
61	149
60	162
14	146
83	175
11	158
12	147
82	159
98	184
44	162
1	158
10	180
15	175
32	179
63	155
95	176
48	170
129	164
20	171
93	165
67	153
44	173
75	148
76	144
40	172
51	148
31	181
97	146
42	190
6	145
103	169
88	155
19	141
84	191
41	150
48	171
57	158
72	152
86	192
24	193
138	143
111	163
136	157
72	167
34	180
89	186
66	147
55	183
70	153
119	191
0	145
103	156
94	162
91	141
118	194
135	164
131	181
37	161
121	141
33	177
92	169
50	193
99	172
65	175
106	173
29	177
65	189
99	186
2	146
134	167
76	140
79	178
102	192
90	194
4	192
126	194
70	146
101	183
12	186
101	164
77	160
47	151
30	153
71	193
69	178
35	186
109	187
63	173
75	166
139	178
106	185
93	189
123	151
113	194
25	185
17	189
59	185
22	185
32	151
36	151
