mmer1	mmer2
42	163
32	191
0	135
38	173
93	179
129	156
107	162
71	191
84	132
37	140
44	138
95	188
16	173
79	182
85	134
30	177
127	158
5	152
100	171
40	184
61	193
6	181
104	174
77	194
114	192
91	194
47	157
125	164
23	131
83	152
9	171
109	188
60	167
90	133
40	169
58	143
104	138
86	160
19	178
11	166
15	190
93	159
65	150
123	159
34	143
8	192
49	156
119	189
51	189
36	189
58	172
55	184
98	144
69	142
80	160
112	187
97	132
68	184
31	131
17	154
110	139
41	175
128	193
114	186
106	147
26	177
1	149
25	165
87	155
9	162
124	188
45	183
102	162
73	166
3	190
82	177
87	170
21	176
111	157
82	149
83	185
12	161
63	180
119	151
111	139
53	168
20	137
122	158
17	138
2	192
70	141
96	179
74	130
121	156
29	183
68	150
46	153
89	190
25	172
72	145
125	192
105	153
79	134
100	153
123	181
118	163
38	141
72	130
107	146
89	164
50	178
35	173
66	191
117	182
16	130
81	130
91	175
116	136
28	160
22	147
7	176
30	159
4	131
117	187
98	171
95	161
54	139
53	154
70	169
74	135
48	172
65	155
94	166
34	134
129	169
103	148
126	194
63	133
3	180
122	135
32	158
10	174
85	175
33	163
81	152
50	174
27	171
52	133
4	188
10	148
8	137
124	168
59	167
112	137
64	191
115	164
69	168
92	170
127	164
116	150
19	142
13	141
45	179
92	144
120	132
110	151
121	140
108	139
54	162
101	152
96	167
13	140
14	154
24	142
64	145
76	165
97	143
71	167
5	144
43	186
128	136
57	134
46	193
88	140
0	155
88	186
33	180
62	145
126	151
113	175
108	146
67	148
31	142
55	163
27	151
75	145
101	187
15	185
22	182
42	179
2	147
59	194
7	150
47	180
76	174
48	136
78	176
20	183
44	133
56	160
36	138
94	149
75	185
37	161
102	144
77	148
66	170
80	182
39	185
86	173
62	183
67	137
26	172
14	186
52	177
23	189
103	165
57	176
24	132
118	187
106	159
21	143
6	166
56	156
41	147
115	165
12	190
18	131
120	153
28	136
61	193
43	146
29	155
51	169
90	184
105	161
60	170
113	157
35	146
11	141
99	157
109	135
39	181
73	149
1	154
78	158
18	178
84	178
49	168
99	181
