mmer1	mmer2
30	131
68	159
97	132
37	188
125	180
49	135
88	132
6	194
104	179
122	191
64	137
19	166
109	174
24	166
85	170
35	163
95	147
105	173
98	161
17	163
34	134
22	131
72	130
38	139
25	144
124	135
38	158
30	155
31	133
86	151
90	146
73	170
79	178
20	159
4	173
107	194
25	175
63	153
43	174
0	163
2	178
16	181
35	133
55	149
71	167
66	155
84	192
3	182
62	193
122	153
48	138
83	169
50	185
58	137
49	187
80	186
129	152
53	155
73	157
29	149
37	180
63	140
60	153
15	157
57	159
117	179
19	171
94	164
94	160
100	186
121	161
26	151
45	142
128	170
16	193
65	186
23	154
120	165
44	191
109	137
34	175
79	140
7	194
93	156
14	188
86	139
32	148
103	174
112	141
98	174
67	155
121	148
45	162
21	187
114	173
85	157
112	144
64	191
70	182
118	176
65	151
46	141
52	184
27	160
0	143
92	189
66	165
110	138
126	130
97	169
61	171
100	178
11	179
39	188
101	137
67	136
11	135
40	165
110	168
99	184
108	171
33	138
8	147
44	176
59	158
18	135
115	163
41	133
10	133
8	188
51	173
114	169
23	183
117	132
106	156
48	162
88	145
2	142
61	134
3	151
102	157
78	136
47	190
93	162
119	192
56	139
105	181
126	152
76	192
111	138
9	184
54	162
6	172
5	180
9	181
102	190
31	132
70	147
119	185
74	160
127	147
36	145
89	136
59	134
125	131
57	136
84	185
69	184
27	146
46	172
124	193
82	180
113	189
95	194
29	152
129	160
71	167
22	181
51	161
96	170
39	145
13	171
52	140
32	172
75	165
77	167
7	177
91	183
42	189
69	175
5	168
81	143
13	161
74	139
60	167
116	164
76	149
82	153
62	150
115	186
87	149
104	190
99	146
128	183
72	141
106	130
89	159
55	140
75	142
47	150
120	131
107	182
15	158
54	178
28	166
10	189
18	187
4	154
96	150
41	156
101	143
87	134
28	152
17	169
108	130
78	156
53	177
40	164
36	175
1	176
26	192
113	145
1	182
14	144
83	193
81	164
12	148
77	177
58	146
111	177
91	154
42	179
24	150
12	143
118	144
92	168
116	166
33	142
21	148
103	187
123	172
50	141
127	185
80	176
68	158
43	154
123	191
20	190
56	168
90	183
