mmer1	mmer2
105	173
84	147
3	190
100	145
119	183
9	187
63	154
113	188
68	153
93	192
47	153
55	167
12	188
97	130
102	187
77	172
105	158
98	157
20	135
15	178
74	138
19	170
82	150
62	131
76	181
86	185
24	180
76	191
101	134
73	168
89	189
120	164
106	146
72	166
29	194
16	192
49	169
52	180
41	158
62	178
14	174
17	193
94	131
48	159
59	189
29	133
61	190
87	170
71	135
95	184
127	194
112	140
78	142
71	137
12	136
102	141
51	155
85	182
1	142
25	157
56	144
28	191
44	172
124	149
92	154
13	191
0	144
23	140
26	181
118	172
50	134
120	161
37	182
123	178
83	166
35	159
94	163
18	165
96	144
81	174
2	149
129	145
58	166
32	136
42	193
24	187
47	156
91	156
100	186
85	160
112	143
38	141
30	140
65	131
38	183
68	139
123	183
67	152
1	177
107	174
79	182
42	155
116	136
87	149
21	177
98	176
122	151
58	137
92	179
17	179
9	170
81	151
41	185
7	162
75	162
31	165
72	160
99	189
39	188
52	185
70	147
22	171
40	177
36	143
114	152
3	179
57	148
43	182
116	132
124	165
78	146
6	149
11	130
127	165
33	171
33	161
95	132
90	180
82	164
54	148
45	170
83	162
19	188
53	176
59	143
114	136
35	147
109	147
118	133
88	150
117	158
20	146
104	161
5	138
7	187
16	169
129	162
108	164
115	172
5	153
10	190
69	173
65	151
6	154
96	133
14	135
8	175
109	175
0	186
80	192
63	161
54	139
45	132
30	131
111	181
97	133
77	183
126	138
21	167
119	163
37	141
36	159
128	135
79	132
125	158
10	184
126	166
88	192
15	157
91	168
31	153
43	177
70	173
27	142
22	180
4	155
66	154
125	181
2	190
44	134
121	140
84	168
99	184
89	176
13	141
51	150
121	191
69	155
103	167
67	167
60	171
104	156
53	189
75	139
113	159
55	168
86	163
107	173
28	145
128	186
101	194
73	148
106	176
46	139
117	171
23	185
34	148
110	130
40	163
4	186
57	137
115	175
64	144
27	157
103	175
111	152
64	184
60	150
74	178
32	156
93	164
25	134
50	179
61	145
46	152
122	174
8	130
56	193
108	160
48	143
110	142
49	169
66	194
26	193
80	137
18	138
90	169
11	146
34	160
39	151
