mmer1	mmer2
19	194
19	141
121	174
61	135
37	191
47	169
76	135
48	137
67	172
40	175
105	191
120	143
63	153
28	161
18	144
65	188
27	179
49	149
51	182
17	145
11	180
73	167
57	172
88	155
16	144
54	151
108	168
34	151
72	158
102	146
106	192
104	142
118	148
0	139
25	138
10	150
75	131
18	189
3	188
107	154
29	179
59	162
83	183
122	139
61	160
85	167
71	173
101	192
23	161
66	180
119	168
2	171
4	161
22	146
27	184
77	194
80	194
121	165
116	139
7	177
74	161
46	163
60	140
108	137
24	150
25	167
13	156
119	168
124	170
64	148
9	136
41	174
111	183
97	134
55	132
90	186
1	191
113	173
36	157
56	131
91	142
8	136
117	132
48	138
52	137
38	189
36	162
109	164
77	133
86	148
127	170
63	135
94	154
81	166
84	134
33	137
55	155
58	147
95	181
9	165
115	155
83	151
43	187
88	160
74	186
109	193
112	153
75	181
41	152
103	136
129	166
30	188
35	156
46	164
78	150
65	184
50	141
125	153
79	194
115	193
100	163
39	144
31	156
57	163
93	157
26	153
53	144
92	181
15	138
81	175
89	145
70	178
54	173
89	138
102	130
58	176
43	181
93	159
32	158
84	187
22	162
52	157
96	174
70	178
45	173
114	133
114	183
0	165
97	171
13	148
98	149
69	147
128	164
96	192
129	149
125	177
29	180
37	136
124	184
79	172
60	170
105	171
126	141
78	163
95	190
67	130
117	159
8	147
28	134
45	155
20	185
99	157
10	145
33	165
6	150
85	187
123	186
66	177
21	179
111	151
14	142
110	184
30	169
44	143
12	133
7	140
39	132
68	188
6	160
98	142
116	180
62	182
34	178
92	178
91	139
126	172
5	191
80	189
12	175
23	185
73	185
31	146
38	133
26	152
44	179
1	167
59	186
21	164
103	176
20	131
120	168
2	154
99	134
128	171
11	143
100	182
107	135
40	177
127	193
82	192
112	169
4	190
87	130
17	189
50	170
106	143
71	162
42	185
110	193
51	132
69	166
35	145
53	131
94	182
68	149
62	154
56	147
76	130
32	159
101	183
64	175
87	160
5	152
47	190
14	176
90	174
122	141
86	140
113	166
49	156
123	169
16	187
82	158
104	159
24	190
42	140
15	146
72	152
3	158
118	176
