mmer1	mmer2
26	188
50	160
9	130
12	137
82	135
38	192
57	153
103	139
24	193
61	151
93	170
113	177
79	186
68	152
66	144
115	157
84	146
49	182
119	185
123	132
62	161
36	151
15	191
74	178
10	175
116	170
47	143
39	154
105	175
1	173
89	171
50	152
71	132
5	176
120	156
88	192
34	133
93	175
98	174
63	156
99	144
65	174
70	134
47	187
121	141
80	131
64	147
60	138
38	173
11	143
114	138
92	186
37	173
121	155
68	156
14	160
54	133
97	170
17	167
48	141
109	143
84	188
42	149
33	188
28	147
92	145
107	177
78	165
117	154
125	166
30	194
27	171
94	170
78	183
12	190
94	189
40	172
9	151
120	147
1	176
107	165
8	145
57	140
75	168
123	138
125	149
29	163
22	171
6	137
52	164
56	190
73	159
122	149
45	136
31	194
33	172
37	161
100	136
32	184
21	144
110	186
45	162
46	164
0	130
32	150
87	144
7	136
43	184
128	178
58	130
83	177
35	133
85	181
108	142
18	158
129	157
101	162
64	154
115	169
116	176
10	179
4	183
56	157
124	155
104	172
28	131
2	157
112	155
86	191
86	153
43	162
59	166
29	180
31	184
69	158
13	181
110	185
19	148
102	130
95	182
48	183
24	139
55	152
81	167
95	186
30	134
77	179
65	142
82	188
40	168
91	133
111	160
113	178
49	134
70	132
83	187
112	145
72	172
44	146
108	162
76	163
103	180
127	174
2	192
77	183
79	132
61	152
5	179
26	165
52	135
19	194
90	155
0	139
111	134
117	174
4	161
42	146
81	142
100	141
106	136
25	193
127	158
126	190
67	164
20	148
41	161
122	141
17	148
129	148
126	180
41	184
69	158
96	192
118	159
85	169
11	156
16	159
76	150
102	150
72	140
98	167
80	173
60	180
105	181
27	169
20	166
44	166
6	177
7	181
109	164
23	154
14	147
16	176
97	153
62	175
39	143
8	178
99	159
22	182
46	142
63	194
89	149
71	160
91	163
35	167
87	151
128	131
74	168
53	171
34	131
25	182
119	165
36	193
96	140
13	146
51	153
53	189
59	191
104	139
106	137
66	189
124	189
58	137
23	140
90	187
51	145
3	185
3	168
101	185
114	135
15	150
54	169
55	191
73	138
75	163
21	179
118	187
88	135
18	190
67	193
