mmer1	mmer2
91	147
88	186
80	169
76	132
105	139
24	165
61	162
33	172
94	192
5	172
96	180
114	162
119	177
62	173
64	137
10	150
69	193
2	183
1	134
55	191
128	190
115	135
100	149
70	156
107	146
43	144
56	159
112	181
104	191
92	152
126	154
105	148
122	180
41	153
122	148
36	133
117	166
9	168
79	157
63	188
31	193
90	192
37	167
93	194
80	187
99	140
0	190
64	151
78	170
65	163
102	141
1	153
59	141
9	167
5	173
89	161
43	156
89	168
39	139
66	130
90	158
3	153
73	149
98	178
3	137
32	151
41	136
16	132
118	144
69	179
18	175
109	176
36	171
120	169
7	180
70	133
58	193
127	145
121	138
35	140
123	135
108	171
38	164
103	159
113	152
38	158
44	184
13	160
116	154
72	130
99	185
110	185
61	156
60	139
101	155
82	157
18	134
23	150
19	159
77	132
109	172
72	187
32	188
127	142
103	189
74	165
84	161
53	147
107	131
83	186
25	182
97	134
125	170
62	139
124	189
79	175
46	156
129	138
100	151
40	161
119	152
126	166
28	148
44	164
15	150
120	147
27	188
22	182
81	168
19	164
52	180
34	181
54	131
49	151
97	177
125	133
40	163
14	165
52	178
124	175
17	144
20	179
98	138
45	194
49	149
84	174
67	174
63	187
71	131
17	175
108	130
35	176
46	132
57	183
48	145
25	143
102	160
2	144
8	194
47	179
8	189
28	155
74	166
39	134
111	153
129	135
12	155
87	184
92	184
68	192
121	146
14	173
75	189
0	136
104	146
85	171
117	177
123	142
58	157
21	140
71	142
4	160
53	138
29	160
33	194
34	179
65	131
29	184
37	152
10	191
66	174
12	169
4	133
93	168
94	154
11	183
101	183
23	191
59	188
76	170
42	154
82	176
6	181
116	148
57	155
6	143
95	157
113	173
75	185
50	145
55	162
30	158
15	181
68	177
86	147
50	163
56	182
77	190
78	145
73	186
7	142
60	186
48	163
54	167
30	161
42	146
45	143
115	182
22	169
106	171
118	149
114	130
16	176
85	166
47	143
24	164
20	136
51	193
95	137
83	167
106	172
112	140
67	141
128	165
26	187
96	137
27	141
86	159
21	150
51	170
88	192
26	135
111	162
110	158
81	178
91	190
11	185
87	178
13	174
31	136
