mmer1	mmer2
126	190
47	198
22	181
76	161
5	192
58	170
67	194
31	188
95	165
82	171
43	179
116	175
139	168
132	182
86	178
2	176
94	187
46	172
27	170
5	192
10	190
74	172
24	158
56	162
70	196
45	151
129	186
149	153
70	197
1	162
100	185
83	196
30	192
25	185
139	180
3	186
60	165
115	169
31	170
124	184
8	188
142	193
26	171
7	161
61	199
48	160
129	180
68	189
62	185
107	179
101	199
33	174
65	154
22	173
99	155
115	171
60	163
39	157
66	163
96	166
97	160
18	150
130	194
137	194
73	170
136	187
95	188
51	171
98	186
4	163
17	179
71	167
135	165
38	153
18	187
87	167
123	169
76	165
143	176
88	182
49	156
52	159
77	197
84	175
113	175
97	169
13	168
56	182
145	187
57	183
69	198
91	175
145	193
81	175
138	177
134	164
14	159
39	156
148	185
40	180
80	166
131	182
75	181
108	186
72	198
0	174
83	177
122	154
114	168
24	183
54	165
64	167
144	195
12	173
6	188
137	172
136	170
7	168
43	168
116	152
130	189
37	181
78	155
38	181
133	190
11	191
11	151
146	185
29	167
144	166
16	192
63	195
63	178
41	155
134	180
53	160
44	183
34	190
59	183
35	153
108	155
50	193
34	156
51	177
4	158
35	191
117	192
106	195
127	196
13	154
127	199
12	195
100	199
29	182
32	179
123	193
109	173
148	152
141	151
91	169
44	183
124	150
50	189
42	164
19	191
81	165
82	182
135	152
67	161
23	166
26	189
106	176
90	150
30	150
117	163
53	150
89	167
110	159
80	198
14	158
125	194
105	186
28	174
119	158
15	189
128	194
104	196
128	151
90	155
101	152
21	184
110	175
118	178
103	173
79	178
28	190
58	156
48	160
138	157
49	154
118	171
66	154
16	164
9	198
79	171
36	176
140	192
0	159
69	177
37	153
98	197
146	190
2	178
111	181
132	151
125	152
33	166
3	161
71	162
141	196
1	186
42	177
20	191
15	184
77	173
74	199
54	159
78	168
140	193
32	197
92	176
99	174
120	151
86	195
93	198
65	164
68	157
147	199
111	196
147	180
41	172
109	197
126	164
85	153
85	169
103	177
120	161
6	158
114	172
89	179
143	166
59	170
10	191
27	195
20	184
102	159
52	157
112	176
104	163
121	150
122	183
75	158
25	162
36	194
107	197
8	185
45	157
112	187
57	160
55	164
149	174
94	178
131	180
55	181
73	156
119	167
92	174
88	152
40	162
17	179
105	161
102	172
84	154
72	173
93	188
23	169
21	184
19	184
62	156
142	160
64	187
46	163
9	189
96	162
47	193
121	155
113	191
61	188
87	153
133	157
