mmer1	mmer2
101	188
0	160
40	152
108	152
98	197
110	195
69	152
30	199
50	154
132	178
73	182
39	192
146	183
55	161
3	197
36	189
60	158
104	152
95	168
72	177
81	188
23	193
122	163
4	180
45	194
11	178
95	171
21	186
13	181
97	166
41	157
77	198
0	166
103	191
11	165
133	189
113	180
58	179
102	165
29	166
129	192
82	171
100	162
128	189
66	173
133	174
143	151
15	181
131	155
99	173
144	153
135	167
142	186
118	179
68	185
104	154
103	191
108	187
63	196
105	155
27	179
149	195
32	189
7	155
101	182
31	171
26	182
126	187
12	154
83	187
91	181
110	156
37	154
90	181
8	157
80	153
100	191
93	197
45	172
114	156
69	162
9	190
93	164
74	155
125	170
4	156
94	189
70	166
130	187
9	180
43	194
134	172
117	176
54	192
82	156
13	165
114	165
89	163
17	157
134	190
56	194
46	168
38	195
34	167
87	158
118	183
10	151
2	194
102	171
148	159
126	192
49	184
25	170
129	163
130	167
73	151
47	192
49	184
23	197
92	176
125	196
66	169
123	173
115	172
81	188
10	181
58	150
62	166
115	179
76	192
107	196
50	163
140	199
33	172
106	170
71	150
48	164
89	150
59	193
143	184
19	190
6	185
27	181
61	152
112	176
25	162
86	157
138	190
147	172
124	161
60	175
146	196
47	197
149	162
35	160
38	159
137	190
40	153
64	163
18	160
138	165
68	164
147	193
44	167
84	167
53	185
105	169
53	187
21	159
59	171
78	198
6	178
85	190
22	161
120	168
52	199
57	153
14	185
5	195
88	188
139	169
37	173
75	153
111	185
83	177
30	161
98	175
76	175
109	177
18	177
139	178
17	169
79	198
77	161
122	155
145	154
55	177
34	163
124	150
56	188
29	168
1	160
145	187
78	195
61	176
28	183
97	174
84	174
39	199
46	198
41	191
15	186
20	182
35	183
86	159
19	170
137	178
65	170
65	184
127	169
113	188
88	167
140	177
52	194
28	198
43	184
121	150
67	159
62	151
91	184
96	154
144	199
75	197
74	186
3	178
57	153
42	172
92	160
5	152
72	185
70	180
36	164
31	158
131	169
67	158
51	191
48	174
22	173
96	199
1	196
26	194
64	165
87	157
116	175
85	193
107	189
128	159
127	176
121	174
142	193
136	150
33	151
99	170
148	183
14	198
12	158
20	182
16	155
116	162
24	180
132	179
80	157
71	173
7	164
24	158
111	183
90	196
119	166
136	151
141	193
42	168
141	174
120	179
63	176
44	160
54	191
135	162
79	156
117	186
94	168
123	186
112	164
119	161
106	175
51	182
2	175
8	195
32	180
16	156
109	171
