mmer1	mmer2
98	180
149	174
53	181
32	174
130	155
7	168
9	182
80	158
124	176
88	183
110	171
146	163
55	192
69	181
35	178
5	163
137	157
77	159
75	181
114	168
58	195
111	198
73	180
91	164
36	176
74	187
99	179
112	179
102	183
122	198
52	184
85	198
4	178
85	171
60	195
20	160
57	182
54	175
43	179
86	173
145	192
49	194
45	196
50	167
134	159
100	164
27	170
133	173
37	152
50	185
147	161
59	152
125	162
87	191
79	194
106	150
148	166
96	179
22	168
141	183
44	199
142	196
123	164
53	150
138	153
30	167
81	188
31	176
33	177
55	178
20	189
13	184
63	161
54	150
71	152
16	170
114	177
68	199
98	181
124	163
108	166
42	154
28	197
78	180
80	155
12	153
135	173
59	197
120	195
126	190
70	182
144	153
48	168
51	158
4	169
51	193
83	154
140	154
113	157
101	180
97	153
65	155
137	177
81	160
145	179
92	154
17	189
37	166
16	168
110	193
95	187
40	186
60	167
61	157
67	152
93	156
131	186
68	191
12	160
118	176
39	169
26	163
111	192
57	157
67	165
100	158
13	174
94	159
69	166
129	175
15	161
48	185
105	173
15	188
65	197
21	166
117	187
30	180
34	177
79	154
45	195
83	172
18	171
72	182
23	151
14	151
6	174
44	162
21	190
38	171
148	185
19	191
135	174
115	189
29	165
125	172
77	163
87	194
123	184
14	171
72	152
144	172
61	172
29	159
94	159
64	189
3	173
128	156
89	167
71	161
2	188
56	196
26	165
96	183
84	195
56	196
107	194
143	167
147	151
112	162
11	155
107	192
109	189
62	170
7	185
1	152
126	177
118	172
24	176
141	193
138	184
122	198
89	156
82	156
25	190
140	197
11	175
102	164
84	161
86	186
35	166
33	156
101	192
8	163
5	175
82	194
99	187
133	167
39	188
134	194
76	157
105	181
136	170
52	161
10	175
95	198
0	191
40	185
119	182
116	153
132	178
149	162
108	160
109	169
41	192
115	197
43	162
143	180
88	187
47	199
146	177
136	178
31	184
17	165
18	174
3	185
117	171
121	182
64	193
6	196
91	188
25	190
10	165
139	162
46	175
49	191
66	191
66	197
74	155
103	151
46	199
97	183
8	190
24	170
104	150
41	164
34	168
130	172
129	186
132	160
47	196
103	187
104	158
106	154
70	150
128	160
27	179
58	183
78	158
142	157
36	169
22	181
90	199
75	178
121	151
28	151
131	169
0	150
9	153
93	169
42	193
127	186
38	193
23	156
1	176
113	159
116	173
73	188
120	158
119	165
139	195
62	170
76	164
90	198
127	190
2	186
32	199
63	189
92	184
19	155
